table_catalog,table_schema,table_name,table_type,self_referencing_column_name,reference_generation,user_defined_type_catalog,user_defined_type_schema,user_defined_type_name,is_insertable_into,is_typed,commit_action
adventureworks,pg_catalog,pg_ts_config,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_ts_config_map,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_ts_dict,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_ts_parser,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_ts_template,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_extension,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_foreign_data_wrapper,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_foreign_server,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_policy,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_replication_origin,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_default_acl,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_init_privs,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_seclabel,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_shseclabel,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_collation,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_parameter_acl,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_partitioned_table,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_range,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_transform,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_sequence,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_publication,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_publication_namespace,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_publication_rel,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_subscription_rel,BASE TABLE,,,,,,YES,NO,
adventureworks,pg_catalog,pg_group,VIEW,,,,,,YES,NO,
adventureworks,pg_catalog,pg_user,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_policies,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_rules,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_views,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_matviews,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_indexes,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_sequences,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stats,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stats_ext,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_stats_ext_exprs,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_publication_tables,VIEW,,,,,,NO,NO,
adventureworks,pg_catalog,pg_locks,VIEW,,,,,,NO,NO,
